企業名,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業文化,働き方,求められるスキル・特性,評価制度,,,,,,,,,,,
AngelList Japan,ENTP,"INFJ, INTP, ENTP, ENTJ",https://angel.co/,スタートアップ投資・求人,大規模,ベンチャー投資・起業支援,フルリモート可,ベンチャー投資・スタートアップ支援,成果主義,,,,,,,,,,,
Visier Japan,INTJ,"ENTP, INTP, ENTJ, INFJ",https://www.visier.com/,HR分析,大規模,AI・データドリブン,フルリモート可,データサイエンス・HR分析,成果主義,,,,,,,,,,,
Namely Japan,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.namely.com/,HRテック,中規模,スタートアップ文化,フルリモート可,SaaS開発・HR管理,成果主義,,,,,,,,,,,
BambooHR Japan,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.bamboohr.com/,HRテック,中規模,柔軟性・成長志向,フルリモート可,HRシステム開発・データ分析,実力評価,,,,,,,,,,,
Personio Japan,INTJ,"ENTP, INTP, ENTJ, INFJ",https://www.personio.com/,HRソフトウェア,中規模,欧州発・HRデジタル化推進,フルリモート可,HRプロダクト開発・マーケティング,成果主義,,,,,,,,,,,
A.T.カーニー,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.onecareer.jp/companies/3,コンサルティング,大規模,グローバル・プロフェッショナル,フレックス制あり,戦略思考・問題解決能力,実力評価,,,,,,,,,,,
A-1 Pictures,INFJ,"ENFP, ENTP, INFJ, INTP",https://a1p.jp/,アニメ制作,中規模,クリエイティブ・プロジェクト型,フレックスタイム制あり,アニメーション制作・ディレクション,成果主義,,,,,,,,,,,
ABCマート,ESTJ,"ISTJ, ESTP, ESFJ, ENTJ",https://www.abc-mart.co.jp/,小売・アパレル,大規模,チャレンジ精神・実力主義,シフト制,販売・店舗マネジメント,実力評価,,,,,,,,,,,
AbemaTV,ENFP,"INFJ, INTJ, ENFP, ENTP",https://abema.tv/,メディア・エンタメ,大規模,ベンチャーマインド・スピード感,フルリモート可,動画コンテンツ企画・デジタルマーケティング,成果主義,,,,,,,,,,,
ADKホールディングス,ENFP,"INFJ, INTJ, ENFP, ENTP",https://www.adk.jp/,広告・マーケティング,大規模,クリエイティブ・グローバル展開,フレックス制あり,広告企画・プロジェクトマネジメント,実力評価,,,,,,,,,,,
Amazonジャパン,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.amazon.co.jp/,EC・テクノロジー,大規模,データドリブン・成果主義,フルリモート可,データ分析・プロジェクト推進,成果主義,,,,,,,,,,,
ANA,ESFJ,"ISFJ, ESTJ, ESFJ, ENFJ",https://www.ana.co.jp/,航空,大規模,チームワーク・安全第一,シフト制,接客・ホスピタリティ,年功序列寄り,,,,,,,,,,,
Anotherworks,ENFP,"INFJ, INTJ, ENFP, ENTP",https://anotherworks.co.jp/,複業クラウド,中規模,柔軟な働き方・副業推奨,フルリモート可,キャリア支援・マッチング,実力評価,,,,,,,,,,,
AOKIホールディングス,ESTJ,"ISTJ, ESTP, ESFJ, ENTJ",https://www.aoki-hd.co.jp/,アパレル,大規模,安定志向・接客重視,シフト制,販売・店舗運営,実力評価,,,,,,,,,,,
Apple Japan,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.apple.com/jp/,テクノロジー,大規模,グローバル・イノベーション志向,フルリモート可,UI/UXデザイン・マーケティング,実力評価,,,,,,,,,,,
Archer Daniels Midland Japan,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.adm.com/,食品・農業,大規模,グローバル・サステナビリティ,フレックス制あり,食品サプライチェーン・営業,成果主義,,,,,,,,,,,
Atrae（転職ドラフト）,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.atrae.co.jp/,HRテック・転職支援,中規模,データドリブン・成長志向,フルリモート可,データ分析・営業企画,成果主義,,,,,,,,,,,
auフィナンシャルホールディングス,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.au-financial.com/,金融・保険,大規模,安定性・顧客志向,フレックス制あり,ファイナンス・リスク管理,実力評価,,,,,,,,,,,
BASE株式会社,ENTP,"INFJ, INTP, ENTP, ENTJ",https://binc.jp/,EC・フィンテック,中規模,ベンチャーマインド・スピード感,フルリモート可,プロダクト開発・マーケティング,成果主義,,,,,,,,,,,
BizReach（ヘッドハンティング）,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.bizreach.jp/,HRテック・人材,大規模,組織変革・成果主義,フレックス制あり,営業・キャリアコンサルティング,成果主義,,,,,,,,,,,
Bunge Japan,ISTJ,"ESTP, ENTP, ISTJ, INTJ",https://www.bunge.com/,食品・農業,大規模,グローバル・安定性,フレックス制あり,食品サプライチェーン・営業,成果主義,,,,,,,,,,,
CAMPFIRE,ENFP,"INFJ, INTJ, ENFP, ENTP",https://camp-fire.jp/,クラウドファンディング,中規模,チャレンジ精神・社会貢献,フルリモート可,企画力・マーケティング,実力評価,,,,,,,,,,,
Cargill Japan,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.cargill.co.jp/,食品・農業,大規模,グローバル・サステナビリティ,フレックス制あり,サプライチェーン・営業,成果主義,,,,,,,,,,,
Chatwork,ENFP,"INFJ, INTJ, ENFP, ENTP",https://www.chatwork.com/ja/,IT・SaaS,中規模,成長志向・チームワーク,フルリモート可,ソフトウェア開発・セールス,実力評価,,,,,,,,,,,
Chevron Japan,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.chevron.com/,エネルギー,大規模,グローバル・技術革新,フレックス制あり,エンジニアリング・環境管理,成果主義,,,,,,,,,,,
CyberAgent AdTech Studio,ENTP,"INFJ, INTP, ENTP, ENTJ",https://adtech.cyberagent.io/,IT・広告,大規模,クリエイティブ・挑戦志向,フレックス制あり,広告運用・データ分析,成果主義,,,,,,,,,,,
CyberAgent,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.cyberagent.co.jp/,IT・広告,大規模,挑戦志向・成果主義,フレックス制・リモート可,マーケティング・開発力,実力主義,,,,,,,,,,,
D.A.コンソーシアム,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.dac.co.jp/,デジタルマーケティング,大規模,クリエイティブ・データドリブン,フレックス制,広告運用・データ分析,成果主義,,,,,,,,,,,
DeNA,ENTP,"INFJ, INTP, ENTP, ENTJ",https://dena.com/jp/,IT・エンタメ,大規模,挑戦志向・スピード感,フルリモート可,プロダクト開発・データ分析,成果主義,,,,,,,,,,,
DMM GAMES,ENFP,"INFJ, INTJ, ENFP, ENTP",https://games.dmm.com/,IT・ゲーム,大規模,クリエイティブ・挑戦志向,フレックス制・リモート可,ゲーム開発・企画力,実力主義,,,,,,,,,,,
DMM.com,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.dmm.com/,IT・EC・動画,大規模,多角経営・スピード感,フルリモート可,マーケティング・開発力,成果主義,,,,,,,,,,,
doda（パーソルキャリア）,ENTP,"INFJ, INTP, ENTP, ENTJ",https://doda.jp/,人材,大規模,安定性・成長支援,フレックス制・リモート可,キャリアコンサルティング・営業力,実力主義,,,,,,,,,,,
dotD（AIマッチング）,INTJ,"ENTP, INTP, ENTJ, INFJ",https://dotd.ai/,HRテック,スタートアップ,データドリブン・挑戦志向,フルリモート可,AI・データ分析,成果主義,,,,,,,,,,,
Eight Career Design,INTP,"ENTP, INTP, INFJ, INTJ",https://eight.career/,HRテック,中規模,キャリア支援・データ活用,フレックス制,キャリアアドバイザー・分析力,成果主義,,,,,,,,,,,
ExaWizards,INTJ,"ENTP, INTP, ENTJ, INFJ",https://exawizards.com/,AI・HRテック,中規模,AI活用・社会貢献,フルリモート可,AI開発・データサイエンス,成果主義,,,,,,,,,,,
EY Japan,INTJ,"ENTP, INTP, ENTJ, INFJ",https://www.eyjapan.jp/,コンサルティング,大規模,グローバル・実力主義,フレックス制・リモート可,会計・コンサルティング,実力主義,,,,,,,,,,,
FM802,ENFP,"INFJ, INTJ, ENFP, ENTP",https://funky802.com/,メディア・ラジオ,中規模,クリエイティブ・エンタメ志向,シフト勤務,企画力・コミュニケーション力,成果主義,,,,,,,,,,,
Forkwell（エンジニア転職）,INTP,"ENTP, INTP, INFJ, INTJ",https://forkwell.com/,HRテック,中規模,エンジニア支援・技術志向,フルリモート可,ITリクルーティング・プログラミング,成果主義,,,,,,,,,,,
freee,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.freee.co.jp/,IT・SaaS,中規模,スタートアップ・自由,フレックス制・リモート可,プロダクト開発・会計知識,実力主義,,,,,,,,,,,
GEヘルスケアジャパン,INTJ,"ENTP, INTP, ENTJ, INFJ",https://www.gehealthcare.co.jp/,医療機器,大規模,グローバル・イノベーション,フルリモート可,医療機器営業・エンジニアリング,成果主義,,,,,,,,,,,
Givery（エンジニア採用）,INTP,"ENTP, INTP, INFJ, INTJ",https://givery.co.jp/,HRテック,中規模,スタートアップ・データドリブン,フレックス制・リモート可,エンジニア採用・HR分析,成果主義,,,,,,,,,,,
Glencore Japan,INTJ,"ENTP, INTP, ENTJ, INFJ",https://www.glencore.com/,商社（資源）,大規模,グローバル・成果重視,フレックス制,貿易・資源取引,成果主義,,,,,,,,,,,
GMOアドパートナーズ,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.gmo-ap.jp/,IT・広告,大規模,データドリブン・チャレンジ精神,フレックス制,マーケティング・広告運用,実力主義,,,,,,,,,,,
GMOインターネット,ENTP,"INFJ, INTP, ENTP, ENTJ",https://www.gmo.jp/,IT・インターネット,大規模,挑戦志向・オープン文化,フレックス制・リモート可,IT開発・マーケティング,成果主義,,,,,,,,,,,
GMOペイメントゲートウェイ,ENTJ,"INTJ, ENTP, ENTJ, ENTP",https://www.gmo-pg.com/,フィンテック,大規模,金融×IT・安定性,フレックス制,決済サービス開発・金融知識,成果主義,,,,,,,,,,,
Google Japan,ENTP,"INFJ, ENFP, INTJ",https://about.google/intl/ja_jp/,IT・検索エンジン,大規模,イノベーション・フラット文化,フルリモート可,AI・データ分析・プロダクト開発,成果主義,,,,,,,,,,,
Green（IT特化求人）,ENFP,"INFJ, ENTP, ENTJ",https://www.green-japan.com/,HRテック,中規模,スタートアップ・自由な文化,フルリモート可,採用支援・営業スキル,成果主義,,,,,,,,,,,
"grooves（Forkwell, Crowd Agent）",ENTP,"INFJ, ENFP, INTJ",https://www.grooves.com/,HRテック,中規模,テック系採用支援,フルリモート可,エンジニア採用・HR知識,成果主義,,,,,,,,,,,
GYAO!,ENFP,"INFJ, ENTP, ENTJ",https://gyao.yahoo.co.jp/,メディア・動画配信,中規模,エンタメ志向,フレックス制,映像制作・マーケティング,実力主義,,,,,,,,,,,
HIS,ENFP,"INFJ, ENTP, ENTJ",https://www.his-j.com/,旅行,大規模,グローバル・ホスピタリティ,シフト制・フレックス可,営業力・旅行業知識,成果主義,,,,,,,,,,,
HRBrain（タレントマネジメントSaaS）,ENTP,"INFJ, ENFP, INTJ",https://www.hrbrain.jp/,HRテック,中規模,データドリブン・HR志向,フルリモート可,HRテクノロジー・データ分析,成果主義,,,,,,,,,,,
IBM Japan,INTJ,"ENTP, INTP, INFJ",https://www.ibm.com/jp-ja,IT・コンサルティング,大規模,グローバル・データドリブン,フレックス制・リモート可,コンサルティング・システム開発,実力主義,,,,,,,,,,,
IHI,ISTJ,"ESTJ, ENTJ, ISTP",https://www.ihi.co.jp/,製造・エンジニアリング,大規模,技術志向・安定性,フレックス制,機械設計・プロジェクト管理,年功序列＋実力評価,,,,,,,,,,,
JACリクルートメント,ESTJ,"ENTP, ISTJ, ENTJ",https://www.jac-recruitment.jp/,人材紹介,大規模,成果主義・グローバル,フルリモート可,ヘッドハンティング・営業,実力主義,,,,,,,,,,,
JAL,ESFJ,"ISFJ, ESTJ, ENFP",https://www.jal.com/ja/,航空,大規模,ホスピタリティ・安全性重視,シフト制,接客・航空業務,年功序列＋成果評価,,,,,,,,,,,
JAバンク,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.jabank.org/,金融,大規模,安定志向・地域密着,フレックス制,金融知識・リスク管理,年功序列＋実力評価,,,,,,,,,,,
JCB,ISTJ,"ESTJ, ENTJ, ISTP",https://www.global.jcb/ja/,金融（クレジットカード）,大規模,安定志向・金融リテラシー重視,フレックス制・リモート可,金融知識・データ分析,年功序列＋実力評価,,,,,,,,,,,
JFEエンジニアリング,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jfe-eng.co.jp/,製造・エンジニアリング,大規模,技術革新・長期雇用,フレックス制,機械設計・プロジェクト管理,年功序列＋成果評価,,,,,,,,,,,
JFEスチール,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jfe-steel.co.jp/,製造（鉄鋼）,大規模,技術志向・安定性,シフト制・フレックス可,鉄鋼業知識・生産管理,年功序列,,,,,,,,,,,
JFE商事,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jfe-shoji.co.jp/,商社,大規模,グローバル・成果主義,フレックス制・リモート可,交渉力・営業力,成果主義,,,,,,,,,,,
JR西日本,ISTJ,"ESTJ, ENTJ, ISTP",https://www.westjr.co.jp/,交通（鉄道）,大規模,安定志向・インフラ重視,シフト制・フレックス可,接客・安全管理,年功序列,,,,,,,,,,,
JR東海,ISTJ,"ESTJ, ENTJ, ISTP",https://jr-central.co.jp/,交通（鉄道）,大規模,安定志向・技術志向,シフト制・フレックス可,鉄道運行・安全管理,年功序列,,,,,,,,,,,
JR東日本,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jreast.co.jp/,交通（鉄道）,大規模,地域密着・インフラ重視,シフト制・フレックス可,サービス精神・安全管理,年功序列,,,,,,,,,,,
JSR,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jsr.co.jp/,化学・素材,大規模,研究開発・技術志向,フレックス制,化学知識・データ分析,年功序列＋成果評価,,,,,,,,,,,
JTBグループ,ESFJ,"ISFJ, ESTJ, ENFP",https://www.jtbcorp.jp/jp/,旅行,大規模,ホスピタリティ・安定性,シフト制,接客・旅行プランニング,年功序列＋実力評価,,,,,,,,,,,
JVCケンウッド,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jvckenwood.com/ja.html,電機・音響機器,大規模,技術革新・グローバル志向,フレックス制,エンジニアリング・マーケティング,年功序列＋成果評価,,,,,,,,,,,
J-WAVE,ENFP,"INFJ, ENTP, ENTJ",https://www.j-wave.co.jp/,メディア（ラジオ）,中規模,クリエイティブ・エンタメ志向,シフト制,放送技術・編集スキル,実力主義,,,,,,,,,,,
KADOKAWA,ENFP,"INFJ, ENTP, ENTJ",https://www.kadokawa.co.jp/,出版・メディア,大規模,クリエイティブ・挑戦的,フレックス制,企画力・編集力,成果主義,,,,,,,,,,,
KAMARQ HOLDINGS,ENTP,"INFJ, ENFP, INTJ",https://kamarq.com/,家具・IoT,小規模,ベンチャー・イノベーション志向,フレックス制,プロダクトデザイン・マーケティング,実力主義,,,,,,,,,,,
KDDI,ENTJ,"ESTJ, ENTP, INTJ",https://www.kddi.com/,通信,大規模,技術志向・安定,フレックス制・リモート可,通信技術・データ分析,年功序列＋実力評価,,,,,,,,,,,
KDDIエボルバ,ESTJ,"ENTP, ISTJ, ENTJ",https://www.k-evolva.com/,BPO・コールセンター,大規模,チームワーク重視・サービス志向,シフト制,接客・カスタマーサポート,実力評価,,,,,,,,,,,
KPMG Japan,INTJ,"ENTP, INTP, INFJ",https://home.kpmg/jp/ja/home.html,コンサルティング,大規模,グローバル・成果主義,フレックス制・リモート可,財務分析・戦略思考,成果主義,,,,,,,,,,,
Kudan株式会社,ENTJ,"ESTJ, ENTP, INTJ",https://www.kudan.io/,AI・コンピュータービジョン,小規模,研究志向・技術革新,フレックス制・リモート可,AI開発・画像認識技術,実力主義,,,,,,,,,,,
LiB（女性向け転職）,ENFJ,"ENFP, INFJ, ENTJ",https://libinc.jp/,人材,小規模,女性キャリア支援,フレックス制・リモート可,キャリアコンサルティング・営業,実力評価,,,,,,,,,,,
LINE Pay,ENTP,"INFJ, ENFP, INTJ",https://line.me/ja/pay,フィンテック,大規模,スピード感・デジタル志向,フレックス制・リモート可,プロジェクトマネジメント・金融知識,成果主義,,,,,,,,,,,
LINEヤフー,ENTP,"INFJ, ENFP, INTJ",https://www.lycorp.co.jp/ja/,IT・メディア,大規模,グローバル・挑戦的,フレックス制・リモート可,エンジニアリング・データ分析,成果主義,,,,,,,,,,,
Louis Dreyfus Company Japan,ENTJ,"ESTJ, ENTP, INTJ",https://www.ldc.com/jp/ja/,商社（農産物・食品）,大規模,グローバル・データ志向,フレックス制・リモート可,貿易・サプライチェーン管理,成果主義,,,,,,,,,,,
Luup,ENFP,"INFJ, ENTP, ENTJ",https://luup.sc/,モビリティ（電動スクーター）,小規模,スタートアップ・挑戦的,フレックス制・リモート可,モビリティ技術・マーケティング,実力主義,,,,,,,,,,,
Maersk Line Japan,ENTJ,"ESTJ, ENTP, INTJ",https://www.maersk.com/,物流・海運,大規模,グローバル・安定,シフト制・一部リモート可,貿易・ロジスティクス,年功序列＋成果評価,,,,,,,,,,,
Makuake,ENFP,"INFJ, ENTP, ENTJ",https://www.makuake.com/,クラウドファンディング,中規模,イノベーション志向・自由,フレックス制・リモート可,事業開発・マーケティング,成果主義,,,,,,,,,,,
Mewcket（AIキャリア診断）,INTJ,"ENTP, INTP, INFJ",https://mewcket.com/,HRテック,小規模,スタートアップ・データ活用,フレックス制・リモート可,AI・キャリア分析,実力主義,,,,,,,,,,,
MS&ADインシュアランスグループ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.ms-ad-hd.com/ja/,保険,大規模,安定志向・チームワーク重視,フレックス制・リモート可,保険知識・リスクマネジメント,年功序列＋実力評価,,,,,,,,,,,
